종목명,BPS,EPS,SPS,ROE,영업이익률,순이익률,매출액증가율,유동자산증가율,총자산증가율,부채비율,비유동부채비율,유동부채비율
경동도시가스,820025.9804723834,7815.781295226986,327999.489084153,34.13249010623181,42.58854428007791,39.53820387480001,312.4437041693282,-465.010448799421,-271.0652994312504,2444.2957417365524,568.5184275483692,1875.7773141881828
나인테크,11223.400976872761,-139.3717479094638,4443.717993366257,-22.74712820781713,-27.54641203587544,-56.03801256152262,427.25009783837663,222.68223961125315,280.3719434751007,3261.1251145116485,1068.1248544717319,2193.000260039916
배럴,66780.64768637845,-554.4010625152106,9936.792094728924,18.96521877875631,-321.6935340247875,-309.87172820559914,627.211020173372,643.8709355069781,618.6851232424272,823.0185435338401,522.3089042994956,300.7096392343444
아시아나IDT,171394.01821774777,3069.829955135135,34462.00806018018,21.066935246276994,91.11112698035552,76.07546046792702,-98.03697797068592,-124.24976964038368,-6.283622334286978,863.8233355586506,278.37598233943555,585.447353219215
매일유업,798513.8563900903,13344.357519200654,359117.8893626394,61.69990161008059,132.00742959207392,92.61854240214073,177.3636503072589,220.22904387141207,169.24811981152922,2303.4497748586964,895.0882350409083,1408.361539817788
미원에스씨,865271.5097209279,31873.47324539113,232881.67410857318,89.17431931244488,310.32148013299735,256.7729858776116,289.81236222012916,137.04221666380627,148.71272427167784,625.0164776799687,163.63479182906138,461.38168585090733
셀리버리,31218.765411087203,-4164.359003549213,639.7092814179998,186.2741813795221,-86213.86763260893,-299817.3180431085,32421.95283798805,-114.50416553814424,-165.9437315445743,-898.5990356689315,342.7114060271966,-1241.310441696128
시스웍,6513.923794951088,329.53117582180573,1459.4694268126548,7.618418533674058,-713.4807671290159,-1165.255309875394,83.39584704040652,6.410341450915112,61.881281824947,1428.3019386665578,124.01474324126389,1304.2871954252937
지엔원에너지,14132.713872204251,52.9651385983657,1918.4111534732479,-7.713352100104493,-271.69405329304925,-217.4143042434971,-144.8168465259425,147.18021296969437,229.17744610913456,497.4386763424056,77.01088325829414,420.42779308411133
에브리봇,56945.28112220952,1837.2728379697655,9189.8793751336,29.424361852120978,134.4659673912085,144.80144307922652,-106.51015409368333,54.83435398903927,243.84603713188437,442.33750235636666,304.81289088834586,137.52461146802065
뉴트리,134512.88106829498,4358.927389828546,55569.93148894302,57.18168674567751,133.1845877119365,114.08792043819204,383.91960109972496,11.080888469331882,165.73259684867088,744.059553124315,239.38895526171763,504.6705978625974
오리온,710721.2941184,10313.73301789708,99221.73392530481,54.53581226881161,385.91108892340486,272.9845348956674,407.5628069263937,127.82239409823562,77.75377306946821,1108.7054514198658,488.0807767870248,620.6246746328412
일진하이솔루스,60054.24097955866,211.599802675006,3583.415194781841,2.3956466275191,-27.609221017836,32.51216877725305,-69.56528570089537,486.26819783592407,310.8901548866222,69.76223391327572,12.368337039573191,57.393896873702545
