종목명,variable,value
KCTC,유사종목_5,애경케미칼
KC그린홀딩스,유사종목_1,인터로조
KC그린홀딩스,유사종목_2,신일제약
KC그린홀딩스,유사종목_3,새론오토모티브
KC그린홀딩스,유사종목_4,차바이오텍
KC그린홀딩스,유사종목_5,픽셀플러스
KC코트렐,유사종목_1,일성건설
KC코트렐,유사종목_2,코리아에프티
KC코트렐,유사종목_3,모베이스전자
KC코트렐,유사종목_4,인지디스플레
KC코트렐,유사종목_5,디에이피
KD,유사종목_1,유니슨
KD,유사종목_2,씨아이에스
KD,유사종목_3,에프앤리퍼블릭
KD,유사종목_4,코아시아옵틱스
KD,유사종목_5,상지카일룸
KEC,유사종목_1,유니테크노
KEC,유사종목_2,에스피시스템스
KEC,유사종목_3,위세아이텍
KEC,유사종목_4,유니온머티리얼
KEC,유사종목_5,서플러스글로벌
KG ETS,유사종목_1,한양이엔지
KG ETS,유사종목_2,동부건설
KG ETS,유사종목_3,성우하이텍
KG ETS,유사종목_4,BGF
KG ETS,유사종목_5,태영건설
KG모빌리언스,유사종목_1,유비쿼스
KG모빌리언스,유사종목_2,휴비츠
KG모빌리언스,유사종목_3,영보화학
KG모빌리언스,유사종목_4,태경비케이
KG모빌리언스,유사종목_5,더네이쳐홀딩스
KG스틸,유사종목_1,삼보산업
KG스틸,유사종목_2,우리엔터프라이즈
KG스틸,유사종목_3,아이마켓코리아
KG스틸,유사종목_4,오텍
KG스틸,유사종목_5,SK네트웍스
KG이니시스,유사종목_1,지누스
KG이니시스,유사종목_2,현대로템
KG이니시스,유사종목_3,대원산업
KG이니시스,유사종목_4,성신양회
KG이니시스,유사종목_5,현대두산인프라코어
KG케미칼,유사종목_1,AK홀딩스
KG케미칼,유사종목_2,신세계 I&C
KG케미칼,유사종목_3,한국가스공사
KG케미칼,유사종목_4,금호석유
KG케미칼,유사종목_5,국도화학
KH 건설,유사종목_1,갤럭시아에스엠
KH 건설,유사종목_2,엔바이오니아
KH 건설,유사종목_3,셀바스AI
KH 건설,유사종목_4,삼영에스앤씨
KH 건설,유사종목_5,범한퓨얼셀
KH 전자,유사종목_1,지니너스
KH 전자,유사종목_2,와이제이엠게임즈
KH 전자,유사종목_3,미래에셋맵스리츠
KH 전자,유사종목_4,윈텍
KH 전자,유사종목_5,바이옵트로
KH 필룩스,유사종목_1,유엔젤
KH 필룩스,유사종목_2,에스엔유
KH 필룩스,유사종목_3,제이앤티씨
KH 필룩스,유사종목_4,동양
KH 필룩스,유사종목_5,키다리스튜디오
KH바텍,유사종목_1,동국산업
KH바텍,유사종목_2,DSR제강
KH바텍,유사종목_3,삼현철강
KH바텍,유사종목_4,휴온스
KH바텍,유사종목_5,대림B&Co
KISCO홀딩스,유사종목_1,아세아시멘트
KISCO홀딩스,유사종목_2,미창석유
KISCO홀딩스,유사종목_3,동일산업
KISCO홀딩스,유사종목_4,한일홀딩스
KISCO홀딩스,유사종목_5,조선내화
KNN,유사종목_1,얼라인드
KNN,유사종목_2,트윔
KNN,유사종목_3,에스에스알
KNN,유사종목_4,디지틀조선
KNN,유사종목_5,에이티넘인베스트
KPX생명과학,유사종목_1,칩스앤미디어
